"","Plot","x","y","Tubbs.barc.SBS"
"1","PPW1301",526273.898160115,4270355.26855954,69
"2","PPW1302",525458.732677739,4269583.34036297,93
"3","PPW1303",526154.900027298,4269071.82779433,99
"4","PPW1304",525955.69106175,4269224.71064264,83
"5","PPW1305",526069.156989525,4269636.51359937,100
"6","PPW1306",526033.988592869,4270893.04334645,103
"7","PPW1307",525899.18664655,4270670.17332532,92
"8","PPW1308",522759.035561761,4273147.02531638,69
"9","PPW1309",522844.00493096,4273346.25636228,81
"10","PPW1310",522794.914902267,4273550.34407193,80
"11","PPW1311",522471.595166781,4273311.62277474,61
"12","PPW1312",522517.941780331,4272846.67410978,97
"13","PPW1313",522854.985164114,4272676.80264977,106
"14","PPW1314",523249.432505465,4272556.34739941,88
"15","PPW1315",524744.060998734,4271569.92216367,70
"16","PPW1316",524780.530807825,4271730.90298861,88
"17","PPW1317",524791.426903259,4271598.15481784,87
"18","PPW1318",524619.604252657,4271852.75015938,79
"19","PPW1319",524520.977575618,4271785.61561592,93
"20","PPW1320",524383.728118112,4269335.79863362,109
"21","PPW1321",524749.213177566,4269597.12786096,101
"22","PPW1322",525098.087822443,4269558.2137142,81
"23","PPW1323",523293.956208318,4272423.2917432,74
"24","PPW1324",523812.983763825,4272006.0823107,94
"25","PPW1325",526476.925038029,4270813.14985148,61
"26","PPW1326",525176.478410784,4271392.01480942,113
"27","PPW1327",522923.996717107,4268886.86131137,101
"28","PPW1328",524432.063393299,4269667.97867377,125
"29","PPW1329",524098.150643073,4271807.24334387,97
"30","PPW1330",523780.817343632,4271478.60258879,109
"31","PPW1331",523514.663081388,4271819.85828256,102
"32","PPW1332",524973.896549538,4271283.47257756,90
"33","PPW1333",525164.824333435,4271316.38821988,76
"34","PPW1334",524896.803336482,4271280.09038619,51
"35","PPW1335",525107.036936639,4271052.89818294,95
"36","PPW1336",525474.369476126,4271066.35636093,85
"37","PPW1337",526114.090905825,4271200.25424342,106
"38","PPW1338",524958.968217698,4269709.1942238,106
"39","PPW1339",524914.039338608,4269871.48892567,89
"40","PPW1340",527216.077232747,4269295.17686163,125
"41","PPW1341",527138.991177722,4269509.09920371,106
"42","PPW1342",527290.080273056,4269589.25837647,156
"43","PPW1343",522967.883575766,4273416.23903607,91
"44","PPW1344",522878.630101276,4272886.91316513,73
"45","PPW1345",523416.312963284,4272232.45375475,83
"46","PPW1346",524586.78082202,4270828.66262427,77
"47","PPW1347",523098.845724998,4268725.45673059,119
"48","PPW1348",523400.87193046,4269032.51310769,110
"49","PPW1349",526511.992163546,4270451.25473232,115
"50","PPW1350",523435.723286019,4269096.49960006,117
"51","PPW1851",527208.206776392,4269567.35304139,149
"52","PPW1852",527376.767724237,4269692.87379573,175
"53","PPW1853",527397.856630863,4269631.56304172,183
"54","PPW1854",527321.242975422,4269514.23203843,168
