"","Plot","x","y","Tubbs.clark.RBR"
"1","PPW1301",-2273765.9487081,2049487.53071599,251.588439941406
"2","PPW1302",-2274759.76420265,2048965.57628153,52.1316032409668
"3","PPW1303",-2274242.56601112,2048276.16002411,131.612060546875
"4","PPW1304",-2274388.71816458,2048479.75253663,126.760726928711
"5","PPW1305",-2274164.19666978,2048847.51180554,127.715545654297
"6","PPW1306",-2273841.8116897,2050075.62769669,187.745056152344
"7","PPW1307",-2274033.12102413,2049896.98944847,138.189071655273
"8","PPW1308",-2276318.00693204,2053171.11676526,13.4400568008423
"9","PPW1309",-2276180.78230627,2053340.68298478,22.0765228271484
"10","PPW1310",-2276169.67374353,2053552.20808662,148.338638305664
"11","PPW1311",-2276544.75412892,2053410.57989569,24.7924404144287
"12","PPW1312",-2276632.34199444,2052946.8840826,-13.1722421646118
"13","PPW1313",-2276359.91582711,2052688.52443263,22.9325752258301
"14","PPW1314",-2276018.90499315,2052462.12808629,48.5062980651855
"15","PPW1315",-2274876.84809043,2051090.37358867,51.8750343322754
"16","PPW1316",-2274796.57832797,2051236.3280333,146.204727172852
"17","PPW1317",-2274823.80815134,2051104.58658028,102.632263183594
"18","PPW1318",-2274915.1144203,2051399.18891168,184.605285644531
"19","PPW1319",-2275027.91972229,2051361.50014156,70.3196411132812
"20","PPW1320",-2275852.18834898,2049024.26827546,53.6302375793457
"21","PPW1321",-2275430.60954804,2049176.09989099,39.7054138183594
"22","PPW1322",-2275109.8510639,2049041.42640488,95.6027450561523
"23","PPW1323",-2276014.24153006,2052320.74470351,182.965194702148
"24","PPW1324",-2275638.79046672,2051771.99542166,79.6368103027344
"25","PPW1325",-2273443.20622505,2049875.07925358,181.387496948242
"26","PPW1326",-2274516.00010153,2050797.71619907,28.259334564209
"27","PPW1327",-2277367.52056766,2048994.57594441,-11.492036819458
"28","PPW1328",-2275712.1542233,2049332.92356138,-1.55721545219421
"29","PPW1329",-2275423.90381777,2051499.96100319,-0.792592406272888
"30","PPW1330",-2275818.75317481,2051269.48411962,12.6170120239258
"31","PPW1331",-2275975.2292632,2051674.32378305,38.2568664550781
"32","PPW1332",-2274739.39240319,2050748.76474444,77.9135131835938
"33","PPW1333",-2274548.4992989,2050727.62637254,140.679931640625
"34","PPW1334",-2274813.66569883,2050766.90739536,82.0725936889648
"35","PPW1335",-2274678.07096568,2050488.20165555,44.829719543457
"36","PPW1336",-2274324.9276431,2050399.17864904,82.0414428710938
"37","PPW1337",-2273678.63733022,2050351.24314225,92.1818542480469
"38","PPW1338",-2275199.3980768,2049226.4762031,17.0842132568359
"39","PPW1339",-2275196.16617959,2049396.32347063,31.5142822265625
"40","PPW1340",-2273170.14695052,2048197.84136785,195.608489990234
"41","PPW1341",-2273182.87516201,2048426.6835695,191.170883178711
"42","PPW1342",-2273016.49094331,2048462.42143153,491.842956542969
"43","PPW1343",-2276043.15521951,2053374.11752263,13.2197751998901
"44","PPW1344",-2276277.93029361,2052885.67932112,6.45477151870728
"45","PPW1345",-2275951.92141557,2052101.70805886,68.8195266723633
"46","PPW1346",-2275236.33316266,2050415.34486983,103.74144744873
"47","PPW1347",-2277246.94584854,2048789.49238164,-21.4579334259033
"48","PPW1348",-2276872.76701754,2049003.29818288,40.3760452270508
"49","PPW1349",-2273512.34101248,2049514.43820451,139.626495361328
"50","PPW1350",-2276821.50369915,2049055.65661998,5.37425136566162
"51","PPW1851",-2273100.55511986,2048463.93316686,489.350372314453
"52","PPW1852",-2272904.70955955,2048538.79878312,522.394470214844
"53","PPW1853",-2272902.01660427,2048473.4910112,655.823120117188
"54","PPW1854",-2273008.1019677,2048381.01553946,616.007263183594
