"","Plot","x","y","Tubbs.mtbs.RDNBR","Tubbs.mtbs.DNBR","Tubbs.mtbs.DNBR6","Kincade.mtbs.RDNBR","Kincade.mtbs.DNBR","Kincade.mtbs.DNBR6"
"1","PPW1301",-2273765.94872305,2049487.53068388,418,292,2,60,32,1
"2","PPW1302",-2274759.76421759,2048965.57624943,189,130,2,93,60,1
"3","PPW1303",-2274242.56602605,2048276.15999202,295,230,2,-38,-43,1
"4","PPW1304",-2274388.71817952,2048479.75250454,135,81,2,-80,-72,1
"5","PPW1305",-2274164.19668472,2048847.51177344,194,114,2,11,-6,0
"6","PPW1306",-2273841.81170464,2050075.62766457,489,376,3,-6,-20,0
"7","PPW1307",-2274033.12103907,2049896.98941636,274,206,2,91,61,2
"8","PPW1308",-2276318.00694702,2053171.11673312,65,24,0,182,124,2
"9","PPW1309",-2276180.78232125,2053340.68295263,49,17,0,34,13,1
"10","PPW1310",-2276169.6737585,2053552.20805447,216,131,2,43,20,1
"11","PPW1311",-2276544.7541439,2053410.57986355,6,-16,0,92,56,1
"12","PPW1312",-2276632.34200941,2052946.88405046,34,9,0,281,225,2
"13","PPW1313",-2276359.91584208,2052688.5244005,117,82,2,23,4,1
"14","PPW1314",-2276018.90500811,2052462.12805416,-42,-48,1,30,9,1
"15","PPW1315",-2274876.84810539,2051090.37355654,122,77,2,32,12,1
"16","PPW1316",-2274796.57834292,2051236.32800117,257,176,2,93,57,1
"17","PPW1317",-2274823.8081663,2051104.58654816,116,72,2,45,22,1
"18","PPW1318",-2274915.11443526,2051399.18887956,161,97,2,95,59,1
"19","PPW1319",-2275027.91973725,2051361.50010943,88,42,1,88,54,1
"20","PPW1320",-2275852.18836393,2049024.26824337,200,148,2,50,24,0
"21","PPW1321",-2275430.60956298,2049176.09985889,100,63,1,18,0,1
"22","PPW1322",-2275109.85107885,2049041.42637278,51,15,1,33,12,1
"23","PPW1323",-2276014.24154503,2052320.74467138,-60,-56,1,-1,-16,1
"24","PPW1324",-2275638.79048168,2051771.99538954,80,44,1,69,43,1
"25","PPW1325",-2273443.20623999,2049875.07922146,139,76,2,26,6,0
"26","PPW1326",-2274516.00011649,2050797.71616695,56,29,1,31,12,1
"27","PPW1327",-2277367.52058262,2048994.57591233,76,41,0,643,506,3
"28","PPW1328",-2275712.15423826,2049332.92352929,64,37,1,130,99,2
"29","PPW1329",-2275423.90383273,2051499.96097107,68,36,1,111,78,2
"30","PPW1330",-2275818.75318978,2051269.48408751,77,47,1,-22,-33,1
"31","PPW1331",-2275975.22927817,2051674.32375092,98,63,1,-2,-17,1
"32","PPW1332",-2274739.39241814,2050748.76471232,110,68,1,30,11,1
"33","PPW1333",-2274548.49931386,2050727.62634042,221,145,2,57,30,1
"34","PPW1334",-2274813.66571378,2050766.90736324,151,95,2,7,-9,1
"35","PPW1335",-2274678.07098063,2050488.20162344,94,57,1,4,-11,1
"36","PPW1336",-2274324.92765805,2050399.17861692,141,89,2,22,3,1
"37","PPW1337",-2273678.63734516,2050351.24311013,312,243,2,82,50,0
"38","PPW1338",-2275199.39809175,2049226.476171,87,54,1,124,91,2
"39","PPW1339",-2275196.16619454,2049396.32343853,86,47,1,67,40,1
"40","PPW1340",-2273170.14696545,2048197.84133575,595,494,3,-25,-31,0
"41","PPW1341",-2273182.87517694,2048426.6835374,578,435,3,139,84,0
"42","PPW1342",-2273016.49095824,2048462.42139943,943,782,4,169,106,0
"43","PPW1343",-2276043.15523448,2053374.11749048,58,29,1,-9,-23,1
"44","PPW1344",-2276277.93030858,2052885.67928898,73,38,0,111,73,2
"45","PPW1345",-2275951.92143054,2052101.70802673,153,103,2,-40,-47,1
"46","PPW1346",-2275236.33317761,2050415.34483772,393,286,2,24,4,1
"47","PPW1347",-2277246.94586349,2048789.49234956,-6,-25,0,150,113,2
"48","PPW1348",-2276872.76703249,2049003.2981508,122,84,2,1,-14,1
"49","PPW1349",-2273512.34102742,2049514.4381724,547,443,3,27,6,0
"50","PPW1350",-2276821.50371411,2049055.65658789,89,58,1,44,22,1
"51","PPW1851",-2273100.5551348,2048463.93313476,871,719,4,107,63,0
"52","PPW1852",-2272904.70957448,2048538.79875102,917,811,4,125,68,0
"53","PPW1853",-2272902.0166192,2048473.4909791,804,670,4,16,-4,0
"54","PPW1854",-2273008.10198263,2048381.01550737,834,683,4,97,51,0
